-0.21,-0.29,-3.29
-0.45,-0.45,-3.82
-0.6,-0.56,-3.7
-1.05,-0.83,-2.75
-1.23,-0.77,-1.46
-1.1,-0.15,-0.43
-1.12,0.36,0.36
-1.16,0.65,1.14
-1.08,0.57,2
-1.04,0.31,2.97
-0.87,0.1,3.73
-0.71,0.59,3.84
-0.37,0.16,3.71
-0.46,-0.16,2.65
-0.48,0.53,2.34
-0.49,1.04,2.88
-0.34,1.12,3.55
-0.28,0.69,3.41
-0.13,0.81,2.97
0,0.98,2.55
0.02,0.98,2.19
0.09,0.79,2.05
0.09,0.73,1.99
-0.05,0.6,1.64
-0.09,0.38,1.07
-0.04,0.22,0.56
0.08,0.31,0.37
0.12,0.48,0.52
0.14,0.53,0.83
0.13,0.48,1.1
0.13,0.41,1.28
0.14,0.36,1.38
0.15,0.35,1.47
0.18,0.35,1.47
0.17,0.29,1.41
0.16,0.24,1.26
0.07,0.16,1.13
0.02,0.06,1.01
0.05,0.13,0.92
0.04,0.22,0.93
0.04,0.26,1.01
0.06,0.28,1.07
0.06,0.31,1.07
0.07,0.35,1.02
0.07,0.31,1.01
0.08,0.21,1.06
0.09,0.14,1.15
0.06,0.15,1.15
0.04,0.19,1.08
0.04,0.2,1
0.01,0.18,0.94
0,0.13,0.87
0.02,0.13,0.81
0.04,0.16,0.79
0.05,0.19,0.83
0.06,0.21,0.91
0.06,0.16,0.98
0.07,0.07,1.04
0.08,0.07,1.05
0.1,0.16,1.05
0.11,0.16,1.08
0.07,0.09,1.07
0.06,0.16,0.98
0.06,0.24,0.86
0.04,0.2,0.77
0.06,0.17,0.74
0.06,0.17,0.76
0.06,0.17,0.81
0.05,0.13,0.88
0.06,0.08,0.96
0.06,0.08,1
0.06,0.11,1.03
0.05,0.11,1.04
0.04,0.12,1.04
0.03,0.16,1.04
0.04,0.19,1.02
0.04,0.18,0.98
0.04,0.17,0.92
0.05,0.15,0.86
0.05,0.13,0.81
0.05,0.12,0.83
0.05,0.14,0.9
0.06,0.15,0.98
0.06,0.11,1.04
0.07,0.05,1.1
0.05,0.07,1.12
0.05,0.14,1.09
0.04,0.15,1
0.03,0.12,0.92
0.03,0.11,0.89
0.03,0.11,0.9
0.05,0.14,0.91
0.05,0.14,0.92
0.05,0.11,0.93
0.04,0.09,0.94
0.05,0.06,1
0.04,0.05,1.05
0.05,0.05,1.07
0.05,0.07,1.05
0.04,0.09,1.02
0.05,0.1,0.98
0.04,0.09,0.94
0.04,0.09,0.91
0.04,0.11,0.9
0.04,0.12,0.92
0.03,0.09,0.94
0.04,0.06,0.96
0.04,0.01,0.99
0.03,-0.02,1.05
0.03,0.02,1.08
0.03,0.05,1.04
0.04,0.05,1
0.04,0.07,0.97
0.04,0.1,0.94
0.04,0.1,0.92
0.04,0.07,0.92
0.03,0.06,0.94
0.03,0.07,0.99
0.03,0.09,1.01
0.03,0.08,1
0.03,0.04,1
0.03,0.03,0.99
0.04,0.08,0.96
0.04,0.11,0.93
0.03,0.09,0.93
0.03,0.06,0.94
0.04,0.05,0.96
0.04,0.09,0.97
